,occorrenze,len
assolutoria,2,11
concluso,2,8
curato,2,6
avanti,2,6
veramente,2,9
abbia,2,5
venuti,2,6
venuta,2,6
brutte,2,6
darmi,2,5
strada,2,6
visita,2,6
anonimo,2,7
denunzie,2,8
dentro,2,6
torna,2,5
voglion,2,7
degnazione,2,10
tutte,2,5
stesso,2,6
visto,2,5
canterelli,2,10
ubbidienza,2,10
campo,2,5
sto,2,3
arcivescovo,2,11
conta,2,5
avevo,2,5
avrebbe,2,7
vennero,2,7
belle,2,5
bisognava,2,9
bando,2,5
contratto,2,9
conto,2,5
tavola,2,6
bel,2,3
bello,2,5
balia,2,5
benché,2,6
tenera,2,6
tenga,2,5
contagio,2,8
contadina,2,9
bianco,2,6
bambino,2,7
conservi,2,8
cristoforo,2,10
tirò,2,4
avrei,2,5
avrà,2,4
uscio,2,5
credo,2,5
avuto,2,5
credete,2,7
condusse,2,8
vada,2,4
avvezzi,2,7
ti,2,2
creatura,2,8
testa,2,5
vendere,2,7
va,2,2
state,2,5
davanti,2,7
benissimo,2,9
amicizia,2,8
trovasse,2,8
ambrogio,2,8
cerimonie,2,9
somma,2,5
cavaliere,2,9
alzar,2,5
tornò,2,5
aggiunse,2,8
sostanza,2,8
dispensa,2,8
agli,2,4
allegria,2,8
troncò,2,6
cert,2,4
comodo,2,6
spalle,2,6
cento,2,5
tramaglino,2,10
specie,2,6
trova,2,5
colloquio,2,9
colpa,2,5
ah,2,2
dieci,2,5
dietro,2,6
affari,2,6
sposo,2,5
tornare,2,7
deve,2,4
ciò,2,3
accomodato,2,10
cielo,2,5
vox,2,3
andarsene,2,9
stacca,2,6
dicendo,2,7
complimenti,2,11
andar,2,5
addirittura,2,11
cattivo,2,7
cercare,2,7
ancor,2,5
volesse,2,7
adesso,2,6
diventato,2,9
vorrà,2,5
affare,2,6
trista,1,6
quegli,1,6
progetti,1,8
tratto,1,6
trionfale,1,9
trattò,1,6
principi,1,8
vecchie,1,7
promessa,1,8
principessa,1,11
profundis,1,9
proferirle,1,10
profittarne,1,11
proferì,1,7
vanno,1,5
vecchia,1,7
vattene,1,7
principiato,1,11
trionfo,1,7
probabilmente,1,13
utile,1,5
principio,1,9
utili,1,5
triste,1,6
pro,1,3
troverà,1,7
promesse,1,8
uh,1,2
provare,1,7
provato,1,7
provvidenza,1,11
pubblicati,1,10
punge,1,5
ultimo,1,6
pungente,1,8
ultima,1,6
trovata,1,7
ugualmente,1,10
prosperosi,1,10
trovavan,1,8
tuttavia,1,8
tuo,1,3
tumulti,1,7
qualità,1,7
trovavano,1,9
trovò,1,5
qualunque,1,9
troveranno,1,10
protezioni,1,10
quanta,1,6
quattrini,1,9
trovare,1,7
promettere,1,10
usato,1,5
uomini,1,6
promettermi,1,11
pronti,1,6
quant,1,5
trovan,1,6
pronunziarle,1,12
trovar,1,6
quanti,1,6
prosegue,1,8
proporgli,1,9
trovarono,1,9
trovarsela,1,10
propose,1,7
quante,1,6
umore,1,5
proposti,1,8
proposto,1,8
umiltà,1,6
quarti,1,6
soddisfatta,1,11
vecchiezza,1,10
porta,1,5
voleste,1,7
volessimo,1,9
poche,1,5
volessero,1,9
volervi,1,7
poggetto,1,8
volermi,1,7
popolazione,1,11
poppa,1,5
populi,1,6
voler,1,5
vogliono,1,8
portarle,1,8
preti,1,5
portarli,1,8
portasse,1,8
portato,1,7
portava,1,7
vogliatene,1,10
vogliano,1,8
portento,1,8
vivo,1,4
vivi,1,4
possiamo,1,8
vivere,1,6
viva,1,4
volevan,1,7
placido,1,7
volgare,1,7
piuttosto,1,9
pertiche,1,8
zampa,1,5
vuoi,1,4
pezzetto,1,8
vorrei,1,6
vorrebbe,1,8
piace,1,5
vorranno,1,8
piacere,1,7
piacerà,1,7
piacevolezza,1,12
voluto,1,6
piaga,1,5
piangendo,1,9
piani,1,5
piantan,1,7
volti,1,5
volteggiare,1,11
volte,1,5
piccolo,1,7
piede,1,5
voltavan,1,8
pieno,1,5
pietà,1,5
pigiando,1,8
vite,1,4
posto,1,5
virilità,1,8
pregarla,1,8
venissero,1,9
venisse,1,7
venir,1,5
trattati,1,8
vengo,1,5
prego,1,5
pregò,1,5
preme,1,5
venezia,1,7
prendere,1,8
venendo,1,7
prendersene,1,11
prendersi,1,9
prendo,1,6
prendon,1,7
vender,1,6
velette,1,7
preparati,1,9
prescritto,1,10
vedrete,1,7
vedremo,1,7
vederla,1,7
presso,1,6
veder,1,5
pretensioni,1,11
pregate,1,7
veniva,1,6
poterci,1,7
prega,1,5
poterli,1,7
vignetta,1,8
potessi,1,7
viene,1,5
vien,1,4
vide,1,4
vicendevoli,1,11
viaggio,1,7
vescovi,1,7
verso,1,5
verrà,1,5
verrei,1,6
verrebbe,1,8
potuta,1,6
verrai,1,6
potuti,1,6
verdi,1,5
potuto,1,6
pover,1,5
vento,1,5
ventitre,1,8
poveri,1,6
pranzare,1,8
pranzi,1,6
predicare,1,9
pregato,1,7
tradimento,1,10
trattasse,1,9
seno,1,4
scompagnato,1,11
scomporsi,1,9
scontare,1,8
scopa,1,5
strinse,1,7
scritta,1,7
scrivere,1,8
scriverne,1,9
straordinaria,1,13
scusi,1,5
strano,1,6
sebbene,1,7
seccherebbe,1,11
strade,1,6
secentista,1,10
stoviglie,1,9
secolo,1,6
seconda,1,7
storie,1,6
sedere,1,6
segno,1,5
seguito,1,7
sei,1,3
seminario,1,9
stessi,1,6
semplicemente,1,13
stesse,1,6
stessa,1,6
steso,1,5
strisciò,1,8
scomodo,1,7
sciolse,1,7
sugo,1,4
santerella,1,10
saper,1,5
suoi,1,4
sulle,1,5
saperlo,1,7
sulla,1,5
sapeva,1,6
sappia,1,6
saprei,1,6
saranno,1,7
sull,1,4
sardonico,1,9
sarebbero,1,9
saremmo,1,7
schizzinosa,1,11
suggerirle,1,10
suggerimento,1,12
sasso,1,5
sbudellarsi,1,11
scapataggini,1,12
scapestrato,1,11
scappatuccia,1,12
scarsezza,1,9
succiano,1,8
succedendo,1,10
scegliere,1,9
stuzzicava,1,10
scherzevole,1,11
senectus,1,8
stavano,1,7
salvo,1,5
sente,1,5
spero,1,5
speriamo,1,8
specialmente,1,12
siccome,1,7
sicura,1,6
spazzato,1,8
spatriarsi,1,10
spasso,1,6
spariti,1,7
sicurezza,1,9
sicuri,1,6
sotto,1,5
sott,1,4
sostantivo,1,10
sorridendo,1,10
sordo,1,5
soltanto,1,8
signori,1,7
similitudini,1,12
soli,1,4
sincero,1,7
sole,1,4
soggiunge,1,9
singolare,1,9
situato,1,7
smanioso,1,8
soggetti,1,8
soggetta,1,8
soavemente,1,10
spesso,1,6
sgherri,1,7
sgarbato,1,8
separazione,1,11
sentendo,1,8
sentenziare,1,11
sentiamo,1,8
starci,1,6
stando,1,6
stampando,1,9
stampa,1,6
sentirlo,1,8
sentirsi,1,8
sentirvi,1,8
sentirà,1,7
senz,1,4
sposalizio,1,10
sera,1,4
sesso,1,5
serenissimo,1,11
serio,1,5
spoglia,1,7
spinger,1,7
serpeggiare,1,11
servirebbe,1,10
personale,1,9
servirli,1,8
servirvi,1,8
spiegazione,1,11
spiegare,1,8
servirò,1,7
spiattellar,1,11
sana,1,4
saluto,1,6
trattare,1,8
rincamminarono,1,14
restò,1,5
rettificazioni,1,14
reverendo,1,9
rialto,1,6
ribatter,1,8
ricever,1,7
richiamano,1,10
topo,1,4
ricorsi,1,7
topaie,1,6
rifatti,1,7
riferir,1,7
riflessioni,1,11
riguardar,1,9
riguardi,1,8
rimanente,1,9
rimanere,1,8
rimanessero,1,11
rimanga,1,7
rimase,1,6
rimasero,1,8
rimasti,1,7
rimedio,1,7
rimestar,1,8
rimetterle,1,10
rimetteva,1,9
tocco,1,5
toccasse,1,8
rimettono,1,9
restar,1,6
respiro,1,7
replicò,1,7
ragazzate,1,9
trattandosi,1,11
quieto,1,6
raccomandazione,1,15
raccomodar,1,10
trasandata,1,10
trappola,1,8
raccomodata,1,11
raccontando,1,11
raccontar,1,9
tranquille,1,10
tranquillamente,1,15
raccontati,1,10
raddolcisce,1,11
ragionar,1,8
tornato,1,7
tradizioni,1,10
tradizione,1,10
ragionevole,1,11
socievole,1,9
rapportarono,1,12
rassegnata,1,10
tosta,1,5
regola,1,6
regole,1,6
relazione,1,9
tornava,1,7
rende,1,5
render,1,6
rimproveri,1,10
rincamminino,1,12
superfluo,1,9
ringraziamenti,1,14
ritenendo,1,9
tenere,1,6
temperamenti,1,12
ritirarsi,1,9
ritorniamo,1,10
ritorno,1,7
te,1,2
riusciti,1,8
riusciva,1,8
tastoni,1,7
riverenza,1,9
tardare,1,7
rivolto,1,7
tara,1,4
ronzarle,1,8
rosa,1,4
ruminarci,1,9
ruppe,1,5
ruvide,1,6
tanti,1,5
tante,1,5
tant,1,4
t,1,1
svogliato,1,9
sacrosanto,1,10
sviamento,1,9
sur,1,3
salita,1,6
saltar,1,6
risposto,1,8
risposta,1,8
tenerli,1,7
tinello,1,7
ringraziare,1,11
ringrazio,1,9
ringraziò,1,9
ripetere,1,8
titolo,1,6
ripeto,1,6
ripeté,1,6
ripiantano,1,10
ripiego,1,7
riposa,1,6
tiri,1,4
tirata,1,6
tirar,1,5
terreno,1,7
tenne,1,5
risapere,1,8
terra,1,5
riservato,1,9
tenuto,1,6
risicar,1,7
risoluti,1,8
risoluto,1,8
risoluzione,1,11
tentennare,1,10
risolvette,1,10
risparmi,1,8
risparmiarselo,1,14
rispetto,1,8
persone,1,7
accoglienze,1,11
perpetua,1,8
cugino,1,6
crocicchio,1,10
croce,1,5
critici,1,7
critiche,1,8
criticare,1,9
criticar,1,8
creduto,1,7
credula,1,7
credevan,1,8
crederei,1,8
credere,1,7
crede,1,5
creature,1,8
creanza,1,7
costui,1,6
cortese,1,7
corta,1,5
cuccagna,1,8
cuor,1,4
corrergli,1,9
curia,1,5
dello,1,5
delizioso,1,9
delicati,1,8
deliberato,1,10
dei,1,3
degli,1,5
decreto,1,7
deciderà,1,8
decidere,1,8
davvero,1,7
darà,1,4
darne,1,5
dargliele,1,9
dargli,1,6
danari,1,6
dalla,1,5
curiosità,1,9
corse,1,5
corpo,1,5
descriverle,1,11
conoscere,1,9
congratulazioni,1,15
congedo,1,7
confuso,1,7
confermò,1,8
condotta,1,8
condizione,1,10
conclusione,1,11
conclusero,1,10
concludenti,1,11
concerti,1,8
concertarsi,1,11
conca,1,5
comunicò,1,8
compratore,1,10
comprando,1,9
compir,1,6
comparve,1,8
conoscer,1,8
conoscerlo,1,10
cordialità,1,10
conoscerà,1,9
corda,1,5
corbelleria,1,11
coraggio,1,8
conversazione,1,13
conveniente,1,11
contorni,1,8
continuar,1,9
conti,1,5
contento,1,8
contentissimo,1,13
contarvi,1,8
contanti,1,8
consumazioni,1,12
consolazione,1,12
considerare,1,11
considerabili,1,13
conservato,1,10
descrivere,1,10
desidera,1,8
perduto,1,7
dovuto,1,6
dovessimo,1,9
dovere,1,6
dottrina,1,8
dottore,1,7
doppio,1,6
donna,1,5
domandò,1,7
domandasse,1,10
domanda,1,7
dolori,1,6
dolor,1,5
dolcemente,1,10
dolce,1,5
dobbiamo,1,8
do,1,2
divezzarlo,1,10
divertimento,1,12
dovevano,1,8
dubbio,1,6
divenuto,1,8
durava,1,6
eravamo,1,7
epiteto,1,7
entrò,1,5
entrar,1,6
entra,1,5
effetto,1,7
educata,1,7
editto,1,6
editti,1,6
edifizio,1,8
ed,1,2
economici,1,9
eccome,1,6
eccolo,1,6
ecco,1,4
eccettuate,1,10
accennava,1,9
divertente,1,10
dito,1,4
desinato,1,8
dirlo,1,5
dimostrazioni,1,13
dimostrar,1,9
dignitoso,1,9
difficile,1,9
difetto,1,7
diede,1,5
dicono,1,6
dicon,1,5
dicevate,1,8
dicevan,1,7
dicesse,1,7
dica,1,4
dibattere,1,9
dia,1,3
accennerò,1,9
dev,1,3
destinato,1,9
direte,1,6
dirne,1,5
dite,1,4
dirvi,1,5
disturbare,1,10
distaccarsi,1,11
dispiacque,1,10
dispiaciuta,1,11
dispiacerà,1,10
dispiaceri,1,10
dispiacere,1,10
dispetto,1,8
dispense,1,8
disinvoltura,1,12
disgustoso,1,10
disgusti,1,8
disgustato,1,10
disgrazie,1,9
disfarsi,1,8
disegno,1,7
discorrere,1,10
compagna,1,8
compadrone,1,10
cominciarono,1,12
attaccamento,1,12
assalto,1,7
aspro,1,5
aspetto,1,7
aspettavo,1,9
aspettava,1,9
aspettare,1,9
aspettar,1,8
ascoltar,1,8
asciutto,1,8
artificiale,1,11
arrivò,1,6
arrivati,1,8
arrivasse,1,9
arrivare,1,8
arriva,1,6
arricciar,1,9
aria,1,4
assenzio,1,8
attaccarmi,1,10
arbitro,1,7
attestato,1,9
bacioni,1,7
azzecca,1,7
avviò,1,5
avvezzin,1,8
avventure,1,9
avventore,1,9
avvenire,1,8
avute,1,5
avrò,1,4
avrebbero,1,9
avidità,1,7
avessi,1,6
averne,1,6
averla,1,6
aver,1,4
avanzerebbe,1,11
atti,1,4
argani,1,6
aperto,1,6
comincia,1,8
almeno,1,6
alimentato,1,10
albagìa,1,7
aiutò,1,5
aiuto,1,5
aiuta,1,5
agricoltura,1,11
agl,1,3
agevolezze,1,10
affetti,1,7
affaccendata,1,12
adempire,1,8
acquistare,1,10
acqua,1,5
accorse,1,7
accorgersi,1,10
accomoderò,1,10
accomodati,1,10
allegra,1,7
altare,1,6
aperta,1,6
alto,1,4
anziane,1,7
antica,1,6
annoiarvi,1,9
anno,1,4
anima,1,5
andavano,1,8
andavan,1,7
andata,1,6
andasse,1,7
andarsi,1,7
andando,1,7
amore,1,5
ammaestrata,1,11
ammaestramento,1,14
amari,1,5
alzano,1,6
alzandosi,1,9
baggiana,1,8
bagna,1,5
bambina,1,7
cent,1,4
cavando,1,7
cavalli,1,7
cavalieri,1,9
cauta,1,5
causa,1,5
catturaccia,1,11
cattivacci,1,10
casuccia,1,8
castello,1,8
carretta,1,8
carlona,1,7
carità,1,6
carico,1,6
capitò,1,6
capitare,1,8
capita,1,6
capisco,1,7
cavarli,1,7
cerca,1,5
bassi,1,5
cercar,1,6
comincerà,1,9
com,1,3
colui,1,5
codesto,1,7
codesti,1,7
codesta,1,7
co,1,2
cinquanta,1,9
cima,1,4
chiederemo,1,10
chiamato,1,8
chiamare,1,8
chiamandoli,1,11
cheta,1,5
accertare,1,9
certe,1,5
certamente,1,10
capelli,1,7
capace,1,6
canzone,1,7
canto,1,5
bisognerebbe,1,12
bisbetici,1,9
birboni,1,7
birbone,1,7
birberia,1,8
bernoccolo,1,10
bergamo,1,7
bensì,1,5
benone,1,6
benedica,1,8
benedetto,1,9
benedetti,1,9
bellezza,1,8
bell,1,4
battezzato,1,10
batter,1,6
basti,1,5
bonarietà,1,9
bonissimo,1,9
bortolo,1,7
burlesco,1,8
canonici,1,8
campanello,1,10
campagna,1,8
cambiare,1,8
calda,1,5
calamità,1,8
burrasca,1,8
buono,1,5
botta,1,5
buffone,1,7
bubbole,1,7
brutta,1,6
bravo,1,5
bravissim,1,9
brav,1,4
braccia,1,7
eredità,1,7
ero,1,3
esaminarla,1,10
mercantessa,1,11
accomodate,1,10
memoria,1,7
medesimo,1,8
medesimi,1,8
abati,1,5
mattina,1,7
matrimonio,1,10
martello,1,8
marito,1,6
mariti,1,6
maritarvi,1,9
maritarsi,1,9
maritare,1,8
maria,1,5
maraviglierei,1,13
maravigliassero,1,15
manoscritto,1,11
menato,1,6
mese,1,4
manderà,1,7
messa,1,5
misericordia,1,12
mise,1,4
mirallegri,1,10
mira,1,4
mille,1,5
migliore,1,8
miglior,1,7
miglio,1,6
micidiale,1,9
mezza,1,5
mettermi,1,8
metterla,1,8
mettere,1,7
metter,1,6
mestizia,1,8
messo,1,5
messi,1,5
maniere,1,7
mancava,1,7
lasci,1,5
libri,1,5
liberati,1,8
levati,1,6
levarlo,1,7
levargli,1,8
levare,1,6
lettuccio,1,9
letto,1,5
letti,1,5
lesto,1,5
legno,1,5
leggere,1,7
leggano,1,7
lecco,1,5
lavoro,1,6
lavoranti,1,9
latinucci,1,9
lasciavano,1,10
liberavamo,1,10
libro,1,5
mancasse,1,8
limitavano,1,10
mamma,1,5
malizia,1,7
malgrado,1,8
malefatte,1,9
malandrinaccio,1,14
mal,1,3
magnanima,1,9
madre,1,5
madonnina,1,9
lungagnata,1,10
lunga,1,5
luce,1,4
lorenzo,1,7
lodò,1,4
livello,1,7
liscia,1,6
lisca,1,5
miserie,1,7
moglie,1,6
molte,1,5
parsa,1,5
paroline,1,8
parolina,1,8
parliam,1,7
parli,1,5
parlasse,1,8
parlarvene,1,10
parlargli,1,9
parlantina,1,10
parlando,1,8
parlan,1,6
pari,1,4
pareti,1,6
parere,1,6
parer,1,5
parentado,1,9
parare,1,6
par,1,3
parrà,1,5
parti,1,5
molti,1,5
particolare,1,11
perdere,1,7
penso,1,5
pensiero,1,8
pensarci,1,8
pensa,1,5
pazienza,1,8
patir,1,5
paternostri,1,11
passò,1,5
passeggiato,1,11
passavan,1,8
passava,1,7
passati,1,7
passategli,1,10
passassero,1,10
passare,1,7
parziale,1,8
pane,1,4
panchetti,1,9
palazzotto,1,10
paghe,1,5
abbiate,1,7
nominar,1,7
noia,1,4
niente,1,6
nient,1,5
negli,1,5
naturale,1,8
nativo,1,6
nati,1,4
naso,1,4
nascita,1,7
mutria,1,6
mucchio,1,7
motivò,1,6
mosconi,1,7
morbus,1,6
moralista,1,9
nostre,1,6
nostri,1,6
notavan,1,7
orecchio,1,8
padroni,1,7
pace,1,4
ottenere,1,8
orsù,1,4
oro,1,3
ormai,1,5
originale,1,9
onore,1,5
nove,1,4
onora,1,5
oggi,1,4
offender,1,8
occhio,1,6
obbligarla,1,10
nuovi,1,5
nude,1,4
lasciava,1,8
lago,1,4
esclamò,1,7
forma,1,5
forestiera,1,10
flagello,1,8
fissarlo,1,8
fissare,1,7
fiorita,1,7
finì,1,4
finora,1,6
finiva,1,6
finito,1,6
finisse,1,7
finisce,1,7
finirebbe,1,9
finire,1,6
filo,1,4
filatoio,1,8
figuro,1,6
figuri,1,6
forestieri,1,10
formalità,1,9
figura,1,6
forte,1,5
galantuomini,1,12
furono,1,6
furbo,1,5
fuoco,1,5
fui,1,3
fruttare,1,8
fretta,1,6
freschi,1,7
freddamente,1,11
frase,1,5
frasca,1,6
franteso,1,8
fracasso,1,8
fossimo,1,7
fossero,1,7
fortunati,1,9
forti,1,5
figuratevi,1,10
figli,1,5
laggiù,1,6
farina,1,6
farei,1,5
farebbe,1,7
famiglia,1,8
fama,1,4
falsa,1,5
fai,1,3
fagotti,1,7
faccia,1,6
faccende,1,8
est,1,3
essenziale,1,10
essendoci,1,9
esprimevan,1,10
espediente,1,10
esequie,1,7
esenzione,1,9
esempio,1,7
faremo,1,6
farli,1,5
fidecommisso,1,12
farlo,1,5
fiato,1,5
fianco,1,6
fessa,1,5
fermo,1,5
fermarsi,1,8
fermandola,1,10
felici,1,6
felice,1,6
fedele,1,6
fecero,1,6
fatta,1,5
fastidiuccio,1,12
farò,1,4
farvi,1,5
farsi,1,5
farne,1,5
farmi,1,5
galateo,1,7
gambe,1,5
garbatamente,1,12
innocente,1,9
infermo,1,7
infante,1,7
indietro,1,8
indicava,1,8
incrocian,1,9
inconveniente,1,13
incontrato,1,10
incontrate,1,10
incomparabile,1,13
incomodato,1,10
inclinato,1,9
inclinati,1,9
inciampi,1,8
incanto,1,7
incaglio,1,8
abitudine,1,9
impuntano,1,9
infilzata,1,9
insegna,1,7
garbugli,1,8
insegnare,1,9
abitare,1,7
istrumento,1,10
istar,1,5
isfogarsi,1,9
ipsa,1,4
invitati,1,8
invitando,1,9
invidiabili,1,11
inventata,1,9
interessato,1,11
intenzione,1,10
intendeva,1,9
intendere,1,9
insolita,1,8
insinuazioni,1,12
insegnò,1,7
insegnarmi,1,10
improduttive,1,12
impiegarne,1,10
impiegar,1,8
impegno,1,7
gridare,1,7
grazioso,1,8
grazia,1,6
grassi,1,6
gradita,1,7
governarsi,1,10
gote,1,4
gongolante,1,10
gomito,1,6
gliele,1,6
giusta,1,6
giugno,1,6
giro,1,4
gioviale,1,8
giovedì,1,7
ghiaccio,1,8
generazione,1,11
guardar,1,7
guardare,1,8
guardarsene,1,11
immaginazion,1,12
impegni,1,7
imparate,1,8
imparassero,1,11
impannate,1,9
immaginosa,1,10
immagini,1,8
